cs_vol_syn_5_rrm_8_10_11_10, cs_cul_syn_3_lci_8_10_11_10, area_code, volun_abs_3_percent_6_11_6_11, cs_cul_syn_4_uci_8_10_11_10, cs_cul_syn_1_no_8_10_11_10, cs_saf_syn_1_no_8_10_11_10, cs_psup_syn_1_no_8_10_11_10, area_name, cs_gsup_syn_1_no_8_10_11_10, cs_vol_syn_3_lci_8_10_11_10, cs_gsup_syn_5_rrm_8_10_11_10, cs_vol_syn_1_no_8_10_11_10, cs_saf_syn_4_uci_8_10_11_10, cs_psup_syn_3_lci_8_10_11_10, cs_psup_syn_2_rate_8_10_11_10, cs_gsup_syn_3_lci_8_10_11_10, volun_abs_2_denom_6_11_6_11, cs_gsup_syn_2_rate_8_10_11_10, cs_cul_syn_5_rrm_8_10_11_10, cs_saf_syn_3_lci_8_10_11_10, cs_psup_syn_5_rrm_8_10_11_10, volun_abs_1_no_6_11_6_11, cs_vol_syn_2_rate_8_10_11_10, cs_gsup_syn_4_uci_8_10_11_10, cs_cul_syn_2_rate_8_10_11_10, cs_vol_syn_4_uci_8_10_11_10, cs_saf_syn_2_rate_8_10_11_10, cs_psup_syn_4_uci_8_10_11_10, cs_saf_syn_5_rrm_8_10_11_10
3.0,-0.636101870167933,21270,42.6957687152977,10.6352527728809,304.756166936659,2658.42773173265,1471.10957936771,"Buloke (S)",4950.56746142451,36.4543001668903,3.0,2333.04102929082,72.2402822881799,21.5123733220237,27.8151898335046,90.7502060696784,5223.0,94.1867532974897,2.0,34.3582156950146,3.0,2230.0,44.2142510547768,97.623300525301,4.99957545135647,51.9742019426633,53.2992489915973,34.1180063449855,3.0
3.0,0.241645433457189,21370,25.1433870247622,9.21983652966604,1502.19393952528,15135.9914301451,8221.45665664271,"Campaspe (S)",27317.5276277706,37.3309690973977,3.0,12716.4518077044,66.6379491792785,23.2514596287292,27.918142487337,90.6808367700537,29117.0,93.2097217648754,1.0,39.1585438805908,3.0,7321.0,43.0513823283405,95.738606759697,4.73074098156162,48.7717955592832,52.8982465299346,32.5848253459447,3.0
3.0,-2.22549528495666,21450,17.6072195053302,10.2262025549093,2034.2474143022,25923.2721042336,15063.7408668235,"Cardinia (S)",49013.9504610691,30.4579277039154,3.0,20039.8754286191,64.0399776481788,22.512097350123,28.1853634617144,89.5509963212523,56846.0,92.6366419361931,2.0,31.867964508546,3.0,10009.0,37.3876141807195,95.722287551134,4.00035363497632,44.3173006575235,47.9539710783624,33.8586295733058,3.0
3.0,0.301810699632601,21610,12.317449505114,10.8875405041157,9773.78423713111,86450.8986582224,54273.4035082988,"Casey (C)",170515.095345132,27.9464148236627,3.0,63577.3363138183,58.3642352180981,24.089119234024,28.805066316468,88.8562567720653,193782.0,91.4204959364037,1.0,31.7774394143403,3.0,23869.0,33.7198230390696,93.9847351007421,5.59467560187413,39.4932312544766,45.0708373162192,33.521013398912,3.0
3.0,1.0532827735351,21670,22.9906004220219,12.2834212499408,777.128225688481,4860.89296877812,2616.17117227647,"Central Goldfields (S)",9283.47245835873,33.5579912479711,3.0,4149.8577306611,70.4756407345345,19.8064954425466,26.1880250938752,88.8633928413725,10426.0,92.2851180169353,1.0,32.0941739676602,3.0,2397.0,41.3688538957399,95.706843192498,6.66835201173795,49.1797165435088,51.2849073510973,32.5695547452039,3.0
3.0,0.146351493196806,21750,24.4499666646463,10.9384885269282,1004.42553352874,8836.28785406702,4708.93830722003,"Colac-Otway (S)",15806.50397548,36.231256643494,3.0,7325.7161797578,69.7310674951399,22.1778719834238,27.7667168946943,90.184061765775,16499.0,93.1995558057627,1.0,36.9768487568824,3.0,4034.0,43.0929889812275,96.2150498457504,5.54242001006248,49.9547213189609,53.3539581260112,33.3555618059647,3.0
3.0,-1.82159869994449,21830,29.704114655571,9.932996239207,581.576351904125,6825.76864042551,3741.65108983114,"Corangamite (S)",12222.1422764876,36.266457114246,3.0,5793.71670239766,72.0372032746471,22.1869998183207,28.3513752695222,90.2809027284074,12978.0,93.6447859363599,2.0,35.3993177447531,3.0,3855.0,43.8439152120685,97.0086691443123,4.05569876963125,51.421373309891,53.7182605097001,34.5157507207237,3.0
3.0,0.656461824544144,21890,14.2549484797815,13.9876432450581,8230.95614201427,50724.8683135432,31458.8968652703,"Darebin (C)",105112.269100512,25.0886771136891,3.0,37010.2588010565,62.6740147772921,21.4521533808787,27.8630796994359,88.1983627559023,114227.0,91.5952661404026,1.0,26.2201629594077,3.0,16283.0,32.9884097136371,94.992169524903,7.3220525348011,40.8881423135851,44.4470888683499,34.2740060179932,3.0
3.0,-0.266982348732077,22110,25.3471128796771,10.6054890257713,2016.4699712309,17163.7750008047,9493.92335850712,"East Gippsland (S)",32002.0337092856,35.7911649961863,3.0,14905.1712803766,69.937334677194,21.5161146859134,27.4286589431421,89.7491652508682,34931.0,92.9511642156504,2.0,34.3078572120623,3.0,8854.0,43.0583651874497,96.1531631804327,5.1692533385196,50.3255653787131,52.1225959446282,33.3412032003708,3.0
3.0,-0.285254950927079,22170,13.7507709477518,12.8859545650603,6281.78649098189,45211.345757104,27609.8903970458,"Frankston (C)",92542.3509058908,26.6098494787598,3.0,34400.3457156525,63.1450670446754,21.3328712807408,27.6359088719396,89.181216725369,102147.0,92.5704940873683,2.0,27.0630498425554,3.0,14046.0,34.3034428043988,95.9597714493676,6.3003498070666,41.9970361300378,45.1040584436154,33.9389464631385,3.0
3.0,-3.80879981179678,22250,32.4260633910687,12.3156827796502,420.309546900142,4471.33832889774,2442.89526852417,"Gannawarra (S)",8205.04541514722,32.3108425736806,3.0,3772.84870228437,79.9632767023427,19.1139351547918,27.9319844296878,88.9637449293828,8487.0,93.7148399054097,2.0,27.0797746909453,3.0,2752.0,43.1721695076633,98.4659348814366,4.2534414839267,54.033496441646,53.521525696644,36.7500337045838,1.0
3.0,0.0220677598051502,22410,28.6727774987444,10.7362586566428,943.474300141407,8609.40052845013,4610.92923205459,"Glenelg (S)",15241.3155595197,36.0443774276929,3.0,7096.30262638285,69.6899456778113,22.3310879348921,27.8289386159586,90.1709861715782,15928.0,93.175582853022,2.0,37.3280350944899,3.0,4567.0,42.7991007608683,96.1801795344657,5.379163208224,49.5538240940438,53.5089903861506,33.3267892970251,3.0
3.0,-2.03899226969027,22490,22.0558674707146,10.6509820007599,591.734890802013,7388.6430902206,3969.42073186968,"Golden Plains (S)",12528.01779039,35.9291773184143,3.0,6140.15471609879,70.4455014894692,22.036695258289,27.9223022475433,89.1719227587673,14427.0,92.5060660945203,2.0,35.9652619768413,3.0,3182.0,43.1717250137424,95.8402094302733,4.30599486553481,50.4142727090704,53.2053817331552,33.8079092367976,3.0
3.0,0.879506441164174,22620,21.5024657940598,8.09486006939242,3643.10601225531,41162.6231714499,21934.4075579421,"Greater Bendigo (C)",73911.2045215242,39.3625946875402,3.0,34697.16399841,62.6362815102466,24.2571665441962,27.8385766181412,91.1788319249835,80907.0,93.0939549152527,1.0,42.0589780094343,3.0,17397.0,43.7403488994079,95.0090779055218,4.4871832552783,48.1181031112756,52.3476297598404,31.4199866920862,3.0
3.0,3.00086828997497,22670,9.57946241113023,15.6324766925358,9964.25684146652,44767.3536105379,30100.7074352519,"Greater Dandenong (C)",95001.4433539047,20.4198312357774,3.0,29735.2047343076,59.7901885931106,22.1366021329016,28.3495467880736,85.3743939704042,110977.0,88.7006033748857,1.0,24.3276078262701,3.0,10631.0,28.034986526461,92.0268127793672,9.31667249125539,35.6501418171447,42.0588982096903,34.5624914432457,3.0
