registered_mental_health, remoteness_area, lga_code, total_offences, gaming_machine_losses, perc_at_risk_alcohol, perc_membership_groups, perc_pop_higher_education, perc_persons_overweight_obese
17.6429075511644,"Highly Accessible",25430,48.6672493349981,227.2595,6.1,0.697,0.373911397198031,0.496821
5.85815779633554,"Highly Accessible",25710,31.1977751464539,204.3369,14.9,0.6519,0.438323090430202,0.414456
12.3269252481294,"Highly Accessible",25900,89.5600273019327,328.0565,14.9,0.6295,0.667994296110537,0.377564
7.39404689539716,"Highly Accessible",26350,75.0223057069685,265.6243,10.1179,0.6721,0.690737759257505,0.39511
16.193603526607,"Moderately Accessible",26610,73.9893617021277,403.877,13.1094,0.6514,0.259382633799689,0.587611
12.0374657217137,"Accessible",26170,35.0360696606004,302.785,8.1,0.689,0.26571702506506,0.465445
11.7682558841279,"Highly Accessible",26080,32.2124321062161,723.686,11.9264,0.7314,0.473861720067454,0.358023
29.4793939036613,"Highly Accessible",26730,64.6553740935087,769.9971,14.1088,0.667,0.320175438596491,0.532512
10.3988705008607,"Highly Accessible",27070,60.2678060510724,821.5336,6.2,0.4955,0.299124193335967,0.550786
11.7230587692071,"Highly Accessible",21370,67.1908165097607,257.7735,12.6078,0.6677,0.2421926910299,0.579708
13.3140558209706,"Highly Accessible",27350,125.724067136032,464.9326,16.0,0.5987,0.727225625552406,0.424995
6.84600598254577,"Highly Accessible",20910,35.8039482746215,250.5094,13.5,0.6666,0.597869101978691,0.408612
6.45134891841021,"Highly Accessible",21450,52.0889317766442,363.4812,10.3996,0.6058,0.256553846153846,0.531636
8.70741950536631,"Highly Accessible",24650,67.0040979934671,608.3373,5.7,0.5162,0.293002984508977,0.581687
17.0364226968001,"Accessible",26700,64.4044301610339,377.3194,10.4801,0.7165,0.290590405904059,0.575253
16.4775376962537,"Accessible",20110,30.1607259443494,308.9195,11.6,0.66,0.292140921409214,0.559862
22.5285104596656,"Accessible",21010,62.2546001539215,468.1479,9.3,0.644,0.273594909862142,0.539362
13.6665902315983,"Accessible",26810,62.5470992891539,705.2814,9.5441,0.6454,0.248956110234759,0.551327
10.354242757349,"Highly Accessible",25060,66.3020362753094,874.1033,7.7,0.6128,0.520117974943854,0.449779
13.7896616936331,"Highly Accessible",23810,100.764220424459,846.3021,9.7,0.627,0.235122154938401,0.536523
9.58479212982068,"Highly Accessible",25340,52.9167667301215,714.3408,16.8,0.6672,0.311627583971851,0.467064
12.0746432491767,"Highly Accessible",20740,62.1329082456254,747.9083,17.2,0.6901,0.267306196525797,0.51105
11.2563797804656,"Highly Accessible",25150,42.7577186604209,389.3226,7.0,0.5683,0.291903114186851,0.531475
12.6233709580675,"Highly Accessible",22750,62.5807723067416,682.0574,11.9,0.6516,0.329529220239875,0.541472
21.1209047064693,"Accessible",20260,72.8334774654914,552.9145,10.0,0.6248,0.24956124956125,0.591836
16.8886001948685,"Accessible",25810,77.5790191620656,585.6495,11.8,0.6407,0.242642026009582,0.530035
15.0368898092552,"Highly Accessible",20570,87.2594961341145,756.3957,11.5,0.6387,0.368235846105724,0.49976
8.85906040268456,"Highly Accessible",22490,26.918877852349,0.0,10.4,0.6128,0.269857859531773,0.491951
11.6984402079723,"Highly Accessible",25990,36.2459272097054,0.0,14.3,0.6157,0.250779787897692,0.566952
13.1263554388768,"Highly Accessible",24850,74.1367052847849,574.1263,11.0,0.5561,0.240642387455741,0.562992
13.476490188819,"Accessible",25620,48.9996149574232,114.647,13.9,0.6383,0.291619606957307,0.568905
8.5988904246578,"Highly Accessible",23670,46.2534717223896,695.3828,13.4,0.5359,0.345468694134225,0.493879
9.24779291335437,"Highly Accessible",27450,39.5506671194024,279.2982,12.8,0.6241,0.300569769232461,0.509186
12.6595201633486,"Accessible",24900,42.4117338778288,81.3886,17.2,0.7063,0.218084267003314,0.592417
