perc_individual_income, rank_primary_health_occasions, registered_mental_health, erp_2010_perc_25_44, erp_2010_perc_0_14, perc_low_english, new_settler, perc_membership_groups, perc_parents_schools, new_dwellings, erp_2010_perc_15_24, perc_population_good_facilities_services, erp_2010_perc_65_84, perc_multiculturalism, erp_2010__perc_85, lga_code, number_of_schools, erp_2010_perc_45_64, perc_pop_higher_education, perc_persons_overweight_obese,norms
0.550853242,20,13.1561373,0.216241485,0.175971684,0.004807692,113.5301189,0.641,0.5674,7.346066515,0.100507546,0.641,0.159543208,0.7038,0.022639241,22910,15,0.325096835,0.357914514,0.469412,0.336669966
0.415685067,60,9.637676994,0.343469181,0.241267652,0.031278827,629.0995255,0.5333,0.3763,30.72688139,0.146538675,0.8462,0.052358964,0.7902,0.00572257,27260,38,0.210642959,0.318634333,0.5252,0.254684048
0.497851031,48,12.73285425,0.296251076,0.228493686,0.075084199,431.4053815,0.4991,0.45,10.08162981,0.158986255,0.7782,0.080565827,0.7212,0.007162957,23270,56,0.228540199,0.275167785,0.534582,0.413843422
0.457459451,50,10.77759985,0.30157973,0.184888647,0.056841477,492.884967,0.5717,0.5945,6.92764585,0.129581048,0.8816,0.120132193,0.7831,0.018204945,23110,28,0.245613437,0.42811579,0.564967,0.556198372
0.437516674,62,8.170395754,0.296398576,0.172633206,0.041810975,389.0344689,0.6094,0.488,7.162534435,0.123940066,0.895,0.132231405,0.8039,0.024040852,23430,44,0.250755896,0.400741662,0.457917,0.535977506
0.435816165,34,7.259389447,0.267795056,0.198563405,0.003278372,72.59389447,0.7037,0.697,18.72158331,0.114660146,0.7347,0.117258243,0.679,0.0177664,26490,9,0.283956749,0.405913646,0.437246,0.488217242
0.495538257,29,8.028098344,0.204967386,0.173858505,0.002061552,62.71951831,0.7372,0.3845,9.784244857,0.129954842,0.7561,0.148018063,0.6397,0.017185148,24250,7,0.326016056,0.287275907,0.464291,0.767760859
0.438724591,45,8.957673819,0.241013014,0.215101419,0.003396647,60.96846055,0.647,0.519,9.825301911,0.12235901,0.7923,0.109860476,0.6271,0.013131668,24130,28,0.298534412,0.358316948,0.534379,0.331074542
0.528112165,56,19.77626848,0.203355973,0.154015182,0.003922887,49.94007191,0.7195,0.6322,6.79184978,0.093687575,0.6122,0.207051538,0.5384,0.031662006,26430,8,0.310227727,0.270634921,0.575031,0.388630766
0.484388579,58,11.70160228,0.387373793,0.164357441,0.119103471,853.2704126,0.527,0.5812,10.97453907,0.137264047,0.7773,0.090251866,0.832,0.017600417,24330,22,0.203152436,0.552003817,0.442241,0.23931307
0.471102477,75,6.588793986,0.279672079,0.148222545,0.062268033,953.1526057,0.6724,0.4848,11.10698491,0.167448769,0.9165,0.146140688,0.8281,0.021150535,24970,55,0.237365383,0.550419559,0.439812,0.254288039
0.543925383,63,17.64290755,0.211877748,0.168666196,0.001760674,86.85739102,0.697,0.5268,5.917159763,0.10645459,0.7501,0.164106183,0.7166,0.02812008,25430,17,0.320775202,0.373911397,0.496821,0.666811578
0.384946583,54,5.858157796,0.251215256,0.203555403,0.005627967,99.71332419,0.6519,0.8049,4.144335037,0.158435124,0.8417,0.075922348,0.7562,0.008241929,25710,27,0.302629939,0.43832309,0.414456,0.546812504
0.299346907,41,12.32692525,0.471994991,0.102608053,0.034756623,685.6274826,0.6295,0.6595,20.25064406,0.107154954,0.926,0.08846442,0.8747,0.014492605,25900,17,0.215284977,0.667994296,0.377564,0.603437775
0.331351226,53,7.394046895,0.363115465,0.128369423,0.033189068,597.9013662,0.6721,0.4971,21.38493886,0.145020976,0.9628,0.119151777,0.8548,0.022630567,26350,23,0.221711792,0.690737759,0.39511,0.220282869
0.499044238,23,16.19360353,0.255364131,0.201790293,0.021340839,413.8365346,0.6514,0.5322,3.868471954,0.135711394,0.6788,0.134092034,0.6345,0.023795601,26610,17,0.249246548,0.259382634,0.587611,0.337586454
0.514243667,44,12.03746572,0.212828092,0.183233021,0.004213085,46.29794508,0.689,0.6649,10.64852737,0.111613661,0.7054,0.168203996,0.6761,0.020798461,26170,22,0.303322768,0.265717025,0.465445,0.521179685
0.470790378,13,11.76825588,0.172601086,0.138503319,0.004188482,60.35003018,0.7314,0.4523,10.56125528,0.068497284,0.8055,0.267652384,0.7107,0.063367532,26080,3,0.289378395,0.47386172,0.358023,0.180797515
0.481129083,69,29.4793939,0.25682448,0.198956429,0.003151872,88.43818171,0.667,0.5957,7.2519309,0.155238488,0.9363,0.125611697,0.7102,0.020252344,26730,15,0.243116562,0.320175439,0.532512,0.30520184
0.494740116,51,10.3988705,0.316498295,0.206481726,0.088735513,472.5587153,0.4955,0.3562,24.52405666,0.146409392,0.8628,0.09067583,0.7933,0.007529994,27070,44,0.232404763,0.299124193,0.550786,0.530693738
0.503262519,21,11.72305877,0.229561604,0.198573737,0.003488206,69.26095991,0.6677,0.5867,3.873483313,0.120360157,0.8067,0.157889336,0.5545,0.022856117,21370,26,0.270759049,0.242192691,0.579708,0.618680648
0.361350416,27,13.31405582,0.463615791,0.112522002,0.081220387,466.4319839,0.5987,0.567,19.66306261,0.127759618,0.9019,0.08392004,0.9012,0.012748303,27350,28,0.199434247,0.727225626,0.424995,0.578333085
0.373549133,66,6.846005983,0.246116999,0.191626492,0.015653874,285.7642137,0.6666,0.5727,6.517068758,0.122919729,0.9453,0.129220933,0.7968,0.033397408,20910,28,0.27671844,0.597869102,0.408612,0.387152391
0.436290608,49,6.451348918,0.293747784,0.234553588,0.005117053,136.3921547,0.6058,0.4901,25.99634469,0.141493221,0.7109,0.088122971,0.6358,0.010911372,21450,31,0.231171063,0.256553846,0.531636,0.614505992
0.417399352,77,8.707419505,0.349006066,0.240615959,0.031294471,255.7162856,0.5162,0.5026,18.25478301,0.136630891,0.8178,0.054960336,0.7379,0.006346244,24650,29,0.212440504,0.293002985,0.581687,0.392025191
0.487073791,25,17.0364227,0.23633285,0.186087497,0.008761637,55.29062133,0.7165,0.3902,5.218052388,0.118563826,0.8558,0.156956251,0.7736,0.025917479,26700,24,0.276142097,0.290590406,0.575253,0.482865574
0.523364486,64,16.4775377,0.208689569,0.174257734,0.013925152,93.2690813,0.66,0.5151,6.762008394,0.093579978,0.7771,0.182496502,0.7764,0.028136173,20110,11,0.312840044,0.292140921,0.559862,1
0.507621202,7,22.52851046,0.20366613,0.17805919,0.002669718,76.96075002,0.644,0.4339,5.667109774,0.120478556,0.859,0.162527111,0.64,0.033023158,21010,13,0.302245855,0.27359491,0.539362,0.498356587
0.516124582,71,13.66659023,0.23698693,0.185576703,0.003249756,71.08461362,0.6454,0.6072,6.925017198,0.124696171,0.7612,0.142490255,0.6402,0.020224719,26810,37,0.290025224,0.24895611,0.551327,0.607221202
0.442501614,73,10.35424276,0.309457111,0.161315202,0.06177875,642.7077054,0.6128,0.4797,10.90386866,0.136582036,0.9337,0.132530761,0.8016,0.022632176,25060,38,0.237482713,0.520117975,0.449779,0.467617731
0.525301014,12,13.78966169,0.250472788,0.19186016,0.00830477,93.24437907,0.627,0.4283,5.056209288,0.147260454,0.7974,0.128388317,0.696,0.018819605,23810,38,0.263198676,0.235122155,0.536523,0.798800596
0.469719825,59,9.58479213,0.227412505,0.179521825,0.005480053,109.8257432,0.6672,0.4302,10.06403174,0.123191203,0.8536,0.177205501,0.71,0.027110318,25340,50,0.265558647,0.311627584,0.467064,0.646615137
0.553912068,24,12.07464325,0.22218635,0.160328017,0.004239855,100.0839414,0.6901,0.5546,19.27423,0.101343062,0.6713,0.202169562,0.6329,0.025343837,20740,12,0.288629173,0.267306197,0.51105,0.478340795
0.470633355,70,11.25637978,0.26368594,0.210340488,0.004024554,76.9069426,0.5683,0.4067,12.79451863,0.128609383,0.6749,0.1073551,0.6323,0.013948123,25150,20,0.276060966,0.291903114,0.531475,0.601504857
0.494801361,43,12.62337096,0.260592181,0.183311522,0.016180069,189.4868859,0.6516,0.439,8.63369504,0.140388425,0.8571,0.139515968,0.7138,0.023242816,22750,82,0.252949088,0.32952922,0.541472,0.562095662
0.514080215,10,21.12090471,0.23332779,0.171794445,0.00291326,124.7297522,0.6248,0.511,3.492433062,0.109346416,0.8208,0.167054715,0.5995,0.023781806,20260,13,0.294694828,0.24956125,0.591836,0.765670817
0.533837131,4,16.88860019,0.220688535,0.173595323,0.003556558,81.19519324,0.6407,0.5415,2.598246184,0.115215979,0.7677,0.166287756,0.5806,0.027525171,25810,13,0.296687236,0.242642026,0.530035,0.384892982
0.49646292,19,15.03688981,0.262474375,0.189111002,0.004640314,144.6455144,0.6387,0.4699,10.67671207,0.163813647,0.8339,0.123801992,0.6825,0.020198341,20570,47,0.240600643,0.368235846,0.49976,0.821904368
0.478922918,39,8.859060403,0.254765101,0.228187919,0.003272704,37.58389262,0.6128,0.4609,11.65100671,0.112053691,0.5444,0.095248322,0.5868,0.006228188,22490,12,0.303516779,0.26985786,0.491951,0.285956275
0.587209302,22,11.69844021,0.220537262,0.16175621,0.00273752,0,0.6157,0.5884,6.210283073,0.098497978,0.5223,0.179520508,0.4469,0.028018486,25990,9,0.311669555,0.250779788,0.566952,0.13710932
0.462520535,32,13.12635544,0.265038238,0.219980596,0.007521344,71.33888825,0.5561,0.391,18.74785983,0.150896016,0.7114,0.102043146,0.6208,0.010358407,24850,18,0.251683598,0.240642387,0.562992,0.740615603
0.491604289,9,13.47649019,0.222213995,0.175490559,0.002883866,59.23731951,0.6383,0.6032,17.54905591,0.10099963,0.6216,0.164605702,0.5999,0.020659015,25620,18,0.3160311,0.291619607,0.568905,0.254557352
0.423671909,47,8.598890425,0.275323732,0.182404759,0.023965785,257.3297579,0.5359,0.3205,3.293056555,0.154557093,0.9343,0.102479665,0.7617,0.014841048,23670,47,0.270393702,0.345468694,0.493879,0.356826141
0.439935607,35,9.247792913,0.263332401,0.198418088,0.006599656,101.1997497,0.6241,0.5377,4.447462683,0.141852754,0.8139,0.103836269,0.6732,0.012976205,27450,81,0.279584282,0.300569769,0.509186,0.291050131
0.524441306,18,12.65952016,0.220248426,0.185706993,0.008575274,61.25574273,0.7063,0.6411,7.554874936,0.117611026,0.7943,0.179207078,0.6416,0.02671431,24900,23,0.270512166,0.218084267,0.592417,0.650098157
