,lga_code,volunteering_12m,support,perc_population_good_facilities_services,feel_safe,perc_membership_groups,perc_parents_schools,norms,rank,lga_name,volunteering_norm,support_norm,feel_safe_norm,name
38,24130,51.60112791004379,96.39823238529009,0.7923,68.9597169611842,64.7,0.519,0.5359775055376588,31.0,KINGSTON,0.65264758552972,0.5064448341837474,0.4488400968995089,
39,24210,46.413929801206706,97.0757520471982,0.8833,68.7212437177301,66.25999999999999,0.6214,0.4882172424691443,42.0,SURF COAST,0.44040915075959997,0.5849379471227053,0.4393046295251274,
40,24250,54.58477904627911,97.9051638555031,0.7561,78.93053767085529,73.72,0.3845,0.7677608594633852,6.0,MANSFIELD,0.7747261014776371,0.6810283167495175,0.8475281601630014,
41,24330,41.6040986679811,94.5946620603571,0.7773,69.0416935009821,52.7,0.5812,0.3310745415248588,61.0,MACEDON RANGES,0.2436109931019479,0.29749466318853357,0.45211796828409506,
42,24410,44.292673002731,96.860961301454,0.94,64.0424906624164,63.31,0.5358,0.3886307660970368,52.0,STRATHBOGIE,0.35361620142401107,0.560053659312577,0.25222243755452245,
43,24600,42.8575428649838,93.77902790132629,0.8574,63.2376886682529,65.18,0.3987,0.2393130700066541,71.0,MARIBYRNONG,0.29489668315306183,0.20300048425744224,0.22004204260945823,
44,24650,41.7421194626125,94.8428961304434,0.8178,62.4201511116536,51.62,0.5026,0.2542880393137745,69.0,MONASH,0.24925822631025582,0.32625348155803624,0.18735241007303144,
45,24780,52.2031557491228,97.2742209101277,0.8361,75.621717750113,66.2,0.5631,0.6668115780162367,10.0,MOUNT ALEXANDER,0.6772800448214689,0.6079312855431996,0.7152234036840416,
46,24850,50.705936953209,96.164098977544,0.7114,71.36703245278301,55.61000000000001,0.391,0.5468125041106199,30.0,NILLUMBIK,0.6160201185403056,0.47931962874655193,0.5450977650450022,
47,24900,51.2871722004067,96.9746982374225,0.7943,72.6720869308597,70.63000000000001,0.6411,0.6034377748579921,20.0,PORT PHILLIP,0.639801832002975,0.5732304963288843,0.597280996242117,
48,24970,41.774070779004795,94.5334655828146,0.9165,60.7326842762278,67.24,0.4848,0.22028286875921058,72.0,STONNINGTON,0.2505655404397071,0.2904048290578438,0.11987823678008086,
49,25060,43.05998872338,96.0897121598154,0.9337,63.708753464131696,61.28,0.4797,0.3375864537441318,59.0,SWAN HILL,0.30317992030926444,0.47070164581053464,0.23887779511259644,
