survey,longitud,ID,gender,age,agegrp,postcode,income,alone,children,other,parents,partner,relation,studypt,work,workpt,workvol,lifesat,s1mat,s2hea,s3pro,s4int,s5saf,s6com,s7sec,s8cont,nbhsat,n1tru,n2sop,n3goa,n4env,n5ame,n6sha,austlife,a1eco,a2env,a3soc,a4gov,a5bus,a6nat,happy,content,satisfied,excited,dass01,dass02,dass03,dass04,dass05,dass06,dass07,dass08,dass09,dass10,dass11,dass12,dass13,dass14,dass15,dass16,dass17,dass18,dass19,dass20,dass21,le1,le2,le03mat,le03int,le03pro,le03hea,le03saf,le03com,le03sec,le04,pcntrl01,pcntrl02,pcntrl03,scntrl01,scntrl02,scntrl03,rcntrl01,rcntrl02,rcntrl03,ses01,ses02,ses03,ses04,ses05,ses06,ses07,ses08,ses09,ses10,lot01,lot03,lot06,tipi01,tipi02,tipi03,tipi04,tele79,tele80A,tele80B,tele80C,tele81,tele82A,tele82B,tele83,tele84,tele85,tele86,tele87,tele88,tele89,tele90,tele91,tele92,tele93,tele94,tele95,tele96,tele97,tele98,tele99,tele100,tele101,tele102,tele103,tele104,tele105,tele106,tele107,tele108,tele109,tele110,tele111,tele112,tele113,tele114A,tele114B,tele114C,tele114D,tele114E,tele114F,tele114G,tele115A,tele115B,tele115C,tele115D,tele115E,tele115F,tele115G
1006,25273,680,1,29,1, ,1, ,1, , , ,4, ,0,1, ,8,8,8,8,5,8,5,4,8,8,8,5,5,5,5,5,10,4,5,5,4,5,5,8,8,8,2,5,5,0,0,0,0,0,2,0,0,0,0,2, ,0,0,0,0,0,0,0,0, , , , , , , , , ,10,10,10,10,10,10,0,5,5,8,0,8,8,0,0,8,0,0,10,10,10,10,7,0,0,10,4,20, ,5,7, , ,0,2,10,10,0,0,5,8,10,10,5,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,10,10,0,10,10,2,7,5,6,4,1,3,2,7,5,6,4, , 
1006,25282,681,1,46,3,2443,3, ,1, , ,1,0, ,0, , ,8,8,8,6,8,9,9,7,7,9,9,10,8,8,7,8,8,6,6,6,4,4,6,7,7,7,7,3,3,2,0,2,1,0,0,0,0,4,2,3,3,0,2,2,2,0,0,0,0, , , , , , , , , ,1,7,7,7,9,5,2,3,1,7,5,7,7,3,5,7,3,1,8,8,7,8,8,3,2,7,6,20,35,5,5,6,1,1,2,9,9,6,6,3,9,9,9,4,1,8,8,8,8,1,0,5,3,8,8,3,0,5,6,6,9,6,8,8,4, ,3, ,1,1, ,4, ,2, ,3,3,2
1006,25286,682,1,42,2,4306,3, ,1, , , ,1, ,0, , ,5,10,1,6,0,1,8,2,2,5,6,6,6,5,1,1,5,0,0,0,0,0,0,1,1,1,1,10,10,10,1,10,10,4,8,0,10,10,10,10,10,10,4,10,10,0,0,0,0, , , , , , , , , ,0,5,10,10,10,5,0,0,8,2,2,5,5,0,7,5,10,0,5,10,10,10,10,10,0,0,6,40,50,10,0,20, ,2,0,10,10,5,0,10,10,10,10,10,4,10,10,10,10,0,10,10,10,10,10,10,7,10,10,10,0,10,10,10, , , , , , , , , , , , , , 
1006,25303,683,1,26,1,4511, , ,1, , , ,3, ,4, , ,7,7,7,2,6,8,4,3,6,8,5,2,4,7,5,2,5,7,7,5,8,8,5,7,5,5,7,10,2,5,5,10,10,8,10,8,10,10,10,10,3,8,5,10,10,8,0,5,2,10,1,1, ,1, , ,1,0,2,10,2,7,7,10,0,6,5,6,5,5,5,5,5,5,7,5,7,7,5,6,7,9,7,5,4,6, ,0,7, , ,0,0,0,6,2,0,0,2,0,10,0,0,0,0,10,10,0,0,0,0, , , , , , ,6,6,0,0,6,2, ,5,4, ,1,2,3, ,5,4, ,1,5
1006,25310,684,0,39,2, , , , , , , , , , , , ,9,9,8,9,10,8,6,5,5,8,8,7,5,5,7,5,5,5,3,1,0,0,5,9,8,8,2,7,5,3,5,5,5,5,6,0,0,7,5,5,7,5,7,5,5,5,3,7,0, , , , , , , , , ,2,5,7,7,7,5,3,5,2,8,2,8,8,3,6,8,5,3,5,5,5,5,1,4,6,5,6,7,50,5,4,14,40,0,3,8,8,5,0,3,3,7,7,3,0,0,0,6,6,6,0,0,0,7,5,10,0,0,5,5,3,7,5,5,1,3,2,4,6,7,5,2,4,1,7,3,5,6
1006,25315,685,0,43,2, , , , , , , , , , , , ,4,5,6,4,6,7,5,4,3,7,7,5,6,5,3,5,6,6,4,4,5,3,4,5,5,4,5,7,3,5,0,2,4,0,1,0,2,4,7,5,7,0,1,3,2,0,0,0,2,6, ,1, , , , , ,1,3,7,5,4,5,5,2,7,5,4,2,6,8,3,3,6,1,2,5,5,5,4,6,2,5,5,6,2,1,3,5,2,1,0,2,6,6,4,2,3,2,2,5,0,0,0,0,4,7,8,0,0,0,6,0,5,2,0,0,5,5,5,4,6, , , , , , , , , , , , , , 
1006,25319,686,1,61,4, , , , , , , , , , , , ,8,8,9,7,7,8,8,7,7,9,7,6,5,7,6,5,8,8,4,5,3,5,5,6,7,6,3,4,5,3,0,3,2,0,3,0,8,6,5,6,0,1,3,2,2,5,1,3,2,5, ,1, ,1, , , ,1,8,8,5,5,10,7,3,5,5,5,1,7,7,2,2,7,5,1,2,3,2,5,5,7,1,4,6,6,30,0,3, ,4,0,1,9,8,0,3,5,5,10,10,4,0,2,8,1,1,0,0,0,1,5,2,2,0,0,2,10,0,7,8,8,1,3,2, , ,4, ,2,3,1, , , , 
1006,25321,687,0,54,3,2486,1, ,1, , ,1,0, ,0, , ,9,10,10,10,8,10,8,10,10,0,4,0,0,3,5,0,10,9,9,9,8,8,9,6,6,6,9,6,0,5,0,0,8,0,7,8,10,8,8,9,7,6,7,0,9,7,0,7,1,5,1,1, , , , , ,1,5,7,3,9,4,6,4,6,5,7,0,6,5,0,0,7,0,0,6,5,5,5,5,6,5,5,0,1, , ,7, , ,0,0,0,5,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,5, , ,1,5,3,1,2, , , , , ,1, 
1006,25334,688,1,46,3,4014,2,1, , , , ,2, ,0, , ,8,8,7,7,7,7,7,6,6,8,8,8,8,8,8,8,8,6,7,7,7,7,7,7,6,6,7,5,1,1,0,1,0,0,5,0,1,0,2,1,1,0,0,0,1,0,0,0,0, , , , , , , , , ,5,8,7,8,7,5,3,5,3,5,0,8,8,8,1,8,0,0,8,7,5,7,5,5,7,7,6,10,50,5,1,3,40,0,1,5,7,5,3,3,5,5,5,3,2,2,2,5,5,5,0,0,0,5,5,5,2,2,2,5,1,5,5,5, , , , , , , , , , , , ,1,4
1006,25338,689,1,33,1, , , , , , , , , , , , ,7,7,7,6,7,8,6,4,6,7,7,6,6,6,6,5,8,6,6,6,6,7,7,7,6,6,5,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0, , , , , , , , , ,7,7,6,6,8,7,0,6,4,6,4,4,4,6,4,4,7,4,6,6,4,6,2,4,4,3,4,9, ,2,3,1, ,0,3,6,8,6,3,4,4,8,8,8,6,6,6,8,8,7,0,0,0,0,0,1,0,1,1,7,4,0,7,7,1, ,2, ,4,5,3,1, ,2, ,3,5,4
